instance,n1,F,T
p250,130,27289482.5,NaN
p260,131,31679712.5,NaN
p270,130,34551937.5,NaN
p280,141,36945116.0,NaN
p290,148,43150530.5,NaN
p300,158,48010185.0,NaN
p310,159,52910101.0,NaN
p320,163,59795803.5,NaN
p330,169,62523654.5,NaN
p340,165,64939505.5,NaN
p350,162,74994312.0,NaN
p360,183,70624507.0,NaN
p370,178,87404510.5,NaN
p380,189,94836376.5,NaN
p390,188,104457977.0,NaN
p400,197,106978446.5,NaN
p410,213,121951122.0,NaN
p420,210,135561596.5,NaN
p430,213,143287068.5,NaN
p440,219,150633888.5,NaN
p450,221,162328305.0,NaN
p460,234,157532037.0,NaN
p470,232,189919778.0,NaN
p480,248,183696505.0,NaN
p490,246,207086478.5,NaN
p500,241,232978593.5,NaN
AV25_1,12,2349.0,0.023
AV25_2,12,19138.5,0.025
AV25_3,12,12549.0,0.054
AV25_4,12,24922.5,0.059
AV25_5,12,8011.0,0.062
AV25_1,8,3077.0,0.01
AV25_2,8,23826.5,0.005
AV25_3,8,18714.0,0.001
AV25_4,8,30647.5,0.009
AV25_5,8,10126.0,0.001
AV25_1,6,3705.0,0.006
AV25_2,6,26229.5,0.002
AV25_3,6,23081.0,0.002
AV25_4,6,33584.5,0.001
AV25_5,6,11289.0,0.001
AV25_1,5,4039.0,0.013
AV25_2,5,30193.5,0.001
AV25_3,5,23167.0,0.013
AV25_4,5,38689.5,0.001
AV25_5,5,12951.0,0.001
P24_a,12,11778.0,0.028
P24_b,12,16178.5,0.017
P24_c,12,17033.0,0.018
P24_d,12,15817.0,0.026
P24_e,12,18530.0,0.011
P24_a,8,14730.0,0.001
P24_b,8,19113.5,0.002
P24_c,8,20495.0,0.002
P24_d,8,20655.0,0.002
P24_e,8,22243.0,0.007
